509001,1,CSC101,88.0,A+
509002,1,CSC102,76.0,A
509003,2,CSC103,67.0,B
509004,2,CSC104,91.0,A+
509005,3,CSC105,54.0,C
509006,3,CSC106,82.0,A+
509007,4,CSC107,73.0,B+
509008,4,CSC108,64.0,B-
509009,5,CSC109,95.0,A+
509010,5,CSC110,71.0,B+
509011,1,CSC101,86.0,A+
509012,1,CSC102,79.0,A
509013,2,CSC103,62.0,B-
509014,2,CSC104,89.0,A+
509015,3,CSC105,57.0,C+
509016,3,CSC106,83.0,A+
509017,4,CSC107,77.0,A
509018,4,CSC108,69.0,B
509019,5,CSC109,92.0,A+
509020,5,CSC110,60.0,B-
509021,1,CSC101,84.0,A+
509022,1,CSC102,72.0,B+
509023,2,CSC103,65.0,B
509024,2,CSC104,90.0,A+
509025,3,CSC105,59.0,C+
509026,3,CSC106,81.0,A+
509027,4,CSC107,74.0,B+
509028,4,CSC108,63.0,B-
509029,5,CSC109,87.0,A+
509030,5,CSC110,70.0,B+
25121211,1,CSC1212,50.0,C
25121211,1,COM1213,90.0,A+
1212,1,2525,50.0,C
25121211,3,1212,50.0,C
25121211,3,5202,90,A+
