509001,1,CSC101,62
509001,1,CSC102,79
509001,2,CSC103,48
509001,2,CSC104,76
509001,3,CSC105,88
509001,3,CSC106,80
509002,1,CSC101,55
509002,1,CSC102,64
509002,2,CSC103,70
509002,2,CSC104,66
509003,1,CSC101,83
509003,1,CSC102,51
509003,2,CSC103,67
509003,2,CSC104,73
509003,3,CSC105,90
509003,3,CSC106,85
509003,4,CSC107,82
509003,4,CSC108,87
509004,1,CSC101,77
509004,1,CSC102,84
509004,2,CSC103,69
509004,2,CSC104,72
509004,3,CSC105,81
509004,3,CSC106,79
509004,4,CSC107,90
509004,4,CSC108,88
509004,5,CSC109,86
509004,5,CSC110,80
509005,1,CSC101,59
509005,1,CSC102,63
509006,1,CSC101,74
509006,1,CSC102,82
509006,2,CSC103,90
509006,2,CSC104,49
509006,3,CSC105,83
509006,3,CSC106,87
509007,1,CSC101,81
509007,1,CSC102,58
509007,2,CSC103,66
509007,2,CSC104,72
509007,3,CSC105,88
509007,3,CSC106,90
509008,1,CSC101,54
509008,1,CSC102,62
509008,2,CSC103,75
509008,2,CSC104,77
509009,1,CSC101,85
509009,1,CSC102,91
509009,2,CSC103,68
509009,2,CSC104,70
509009,3,CSC105,87
509009,3,CSC106,92
509009,4,CSC107,79
509009,4,CSC108,85
509009,5,CSC109,88
509009,5,CSC110,81
509010,1,CSC101,78
509010,1,CSC102,61
509010,2,CSC103,72
509010,2,CSC104,67
509010,3,CSC105,84
509010,3,CSC106,86
509010,4,CSC107,82
509010,4,CSC108,79
509010,5,CSC109,85
509010,5,CSC110,90
509011,1,CSC101,60
509011,1,CSC102,69
509012,1,CSC101,50
509012,1,CSC102,57
509012,2,CSC103,73
509012,2,CSC104,65
509013,1,CSC101,82
509013,1,CSC102,53
509013,2,CSC103,66
509013,2,CSC104,74
509013,3,CSC105,85
509013,3,CSC106,80
509014,1,CSC101,71
509014,1,CSC102,88
509014,2,CSC103,79
509014,2,CSC104,82
509014,3,CSC105,84
509014,3,CSC106,87
509014,4,CSC107,89
509014,4,CSC108,80
509015,1,CSC101,73
509015,1,CSC102,68
509015,2,CSC103,77
509015,2,CSC104,69
509015,3,CSC105,85
509015,3,CSC106,82
509015,4,CSC107,84
509015,4,CSC108,88
509015,5,CSC109,90
509015,5,CSC110,85
509016,1,CSC101,76
509016,1,CSC102,64
509016,2,CSC103,68
509016,2,CSC104,74
509016,3,CSC105,81
509016,3,CSC106,83
509016,4,CSC107,86
509016,4,CSC108,82
509016,5,CSC109,89
509016,5,CSC110,87
509017,1,CSC101,58
509017,1,CSC102,61
509017,2,CSC103,69
509017,2,CSC104,72
509018,1,CSC101,77
509018,1,CSC102,50
509018,2,CSC103,75
509018,2,CSC104,66
509018,3,CSC105,88
509018,3,CSC106,80
509019,1,CSC101,80
509019,1,CSC102,59
509019,2,CSC103,70
509019,2,CSC104,73
509019,3,CSC105,86
509019,3,CSC106,82
509019,4,CSC107,84
509019,4,CSC108,87
509020,1,CSC101,62
509020,1,CSC102,65
509021,1,CSC101,89
509021,1,CSC102,84
509021,2,CSC103,71
509021,2,CSC104,69
509021,3,CSC105,83
509021,3,CSC106,87
509021,4,CSC107,90
509021,4,CSC108,85
509021,5,CSC109,92
509021,5,CSC110,86
509022,1,CSC101,74
509022,1,CSC102,68
509022,2,CSC103,78
509022,2,CSC104,72
509022,3,CSC105,86
509022,3,CSC106,83
509022,4,CSC107,87
509022,4,CSC108,84
509022,5,CSC109,90
509022,5,CSC110,85
509023,1,CSC101,68
509023,1,CSC102,59
509023,2,CSC103,66
509023,2,CSC104,70
509023,3,CSC105,88
509023,3,CSC106,81
509023,4,CSC107,85
509023,4,CSC108,88
509023,5,CSC109,89
509023,5,CSC110,84
509024,1,CSC101,71
509024,1,CSC102,62
509024,2,CSC103,75
509024,2,CSC104,69
509024,3,CSC105,82
509024,3,CSC106,84
509025,1,CSC101,64
509025,1,CSC102,70
509025,2,CSC103,68
509025,2,CSC104,77
509025,3,CSC105,85
509025,3,CSC106,83
509025,4,CSC107,86
509025,4,CSC108,88
509026,1,CSC101,59
509026,1,CSC102,61
509026,2,CSC103,74
509026,2,CSC104,69
509027,1,CSC101,82
509027,1,CSC102,78
509028,1,CSC101,84
509028,1,CSC102,73
509028,2,CSC103,79
509028,2,CSC104,82
509028,3,CSC105,85
509028,3,CSC106,81
509029,1,CSC101,86
509029,1,CSC102,80
509029,2,CSC103,68
509029,2,CSC104,72
509029,3,CSC105,87
509029,3,CSC106,83
509029,4,CSC107,85
509029,4,CSC108,88
509029,5,CSC109,90
509029,5,CSC110,86
509030,1,CSC101,77
509030,1,CSC102,63
509030,2,CSC103,75
509030,2,CSC104,69
509030,3,CSC105,85
509030,3,CSC106,79
